product_id,product_name,category,price,sold_count,rating,review_count,shop_name,location,crawl_time,source_url,data_source_type,hot_score,opportunity_score
P00001,Makeup Essential 0001,Makeup,353,45,4.68,6,Sample Shop 073,Taoyuan,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/1,synthetic_compliant_sample,38.74,22.37
P00002,Skincare Essential 0002,Skincare,294,59,4.43,7,Sample Shop 035,Kaohsiung,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/2,synthetic_compliant_sample,38.07,33.11
P00003,Fashion Accessories Essential 0003,Fashion Accessories,574,77,4.63,4,Sample Shop 014,New Taipei,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/3,synthetic_compliant_sample,40.71,41.56
P00004,Fashion Accessories Essential 0004,Fashion Accessories,1333,55,4.68,6,Sample Shop 035,Taipei,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/4,synthetic_compliant_sample,40.62,40.6
P00005,Fashion Accessories Essential 0005,Fashion Accessories,482,116,4.53,11,Sample Shop 010,Taichung,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/5,synthetic_compliant_sample,48.81,56.14
P00006,Wellness Essential 0006,Wellness,1241,153,4.76,10,Sample Shop 095,Taichung,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/6,synthetic_compliant_sample,54.62,53.8
P00007,Feminine Care Essential 0007,Feminine Care,114,438,4.65,32,Sample Shop 008,Kaohsiung,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/7,synthetic_compliant_sample,70.19,67.84
P00008,Skincare Essential 0008,Skincare,545,120,4.84,17,Sample Shop 028,Taichung,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/8,synthetic_compliant_sample,56.93,32.15
P00009,Wellness Essential 0009,Wellness,600,153,4.79,9,Sample Shop 116,Tainan,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/9,synthetic_compliant_sample,54.47,53.32
P00010,Feminine Care Essential 0010,Feminine Care,242,163,4.26,21,Sample Shop 020,Kaohsiung,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/10,synthetic_compliant_sample,51.67,57.83
P00011,Makeup Essential 0011,Makeup,186,29,4.73,4,Sample Shop 007,Kaohsiung,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/11,synthetic_compliant_sample,33.22,20.17
P00012,Makeup Essential 0012,Makeup,326,260,4.96,31,Sample Shop 041,Kaohsiung,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/12,synthetic_compliant_sample,70.1,44.1
P00013,Hair Care Essential 0013,Hair Care,475,50,4.47,4,Sample Shop 064,Taoyuan,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/13,synthetic_compliant_sample,34.03,44.77
P00014,Fashion Accessories Essential 0014,Fashion Accessories,485,469,4.55,54,Sample Shop 049,Taipei,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/14,synthetic_compliant_sample,72.62,75.1
P00015,Feminine Care Essential 0015,Feminine Care,307,189,4.62,15,Sample Shop 108,Taipei,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/15,synthetic_compliant_sample,56.84,65.74
P00016,Skincare Essential 0016,Skincare,276,42,4.03,2,Sample Shop 117,Kaohsiung,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/16,synthetic_compliant_sample,21.76,25.43
P00017,Makeup Essential 0017,Makeup,364,322,4.26,37,Sample Shop 091,Taichung,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/17,synthetic_compliant_sample,61.81,46.7
P00018,Fashion Accessories Essential 0018,Fashion Accessories,631,69,4.17,3,Sample Shop 112,Other,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/18,synthetic_compliant_sample,30.64,39.55
P00019,Skincare Essential 0019,Skincare,963,55,4.56,3,Sample Shop 064,Taipei,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/19,synthetic_compliant_sample,34.9,18.28
P00020,Feminine Care Essential 0020,Feminine Care,340,241,4.45,11,Sample Shop 068,Taipei,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/20,synthetic_compliant_sample,54.44,66.23
P00021,Fashion Accessories Essential 0021,Fashion Accessories,476,163,4.48,19,Sample Shop 052,New Taipei,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/21,synthetic_compliant_sample,54.64,61.46
P00022,Feminine Care Essential 0022,Feminine Care,303,69,4.86,9,Sample Shop 032,Taipei,2026-08-01 10:00:00+08:00,https://example.com/compliant-sample/product/22,synthetic_compliant_sample,48.09,55.29
